transaction_id,old_parent,new_president_name,new_parent,new_president_name,child,type,date
2403-53_tr_29,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,General Treasury,department,2024-09-27
2403-53_tr_30,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of Fiscal Policy,department,2024-09-27
2403-53_tr_31,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of National Budget,department,2024-09-27
2403-53_tr_32,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of Management Services,department,2024-09-27
2403-53_tr_33,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of Public Finance,department,2024-09-27
2403-53_tr_34,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of Treasury Operations,department,2024-09-27
2403-53_tr_35,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of State Accounts,department,2024-09-27
2403-53_tr_36,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of Legal Affairs,department,2024-09-27
2403-53_tr_37,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of Management Audit,department,2024-09-27
2403-53_tr_38,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of Development Finance,department,2024-09-27
2403-53_tr_39,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of Public Enterprises,department,2024-09-27
2403-53_tr_40,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of Inland Revenue,department,2024-09-27
2403-53_tr_41,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Sri Lanka Customs,department,2024-09-27
2403-53_tr_42,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of Excise,department,2024-09-27
2403-53_tr_43,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,National Lotteries Board,department,2024-09-27
2403-53_tr_44,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Development Lotteries Board,department,2024-09-27
2403-53_tr_45,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of Valuation,department,2024-09-27
2403-53_tr_46,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Central Bank of Sri Lanka,department,2024-09-27
2403-53_tr_47,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,"All State Banks, Financial Institutions, Insurance Companies and their subsidiaries and related institutions",department,2024-09-27
2403-53_tr_48,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Insurance Regulatory Commission of Sri Lanka,department,2024-09-27
2403-53_tr_49,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies,department,2024-09-27
2403-53_tr_50,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Credit Information Bureau,department,2024-09-27
2403-53_tr_51,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Securities and Exchange Commission of Sri Lanka,department,2024-09-27
2403-53_tr_52,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Sri Lanka Accounting and Auditing Standard Monitoring Board,department,2024-09-27
2403-53_tr_53,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Public Utilities Commission of Sri Lanka,department,2024-09-27
2403-53_tr_54,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Sri Lanka Export Credit Insurance Corporation,department,2024-09-27
2403-53_tr_55,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Housing Development Finance Corporation,department,2024-09-27
2403-53_tr_56,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,State Mortgage and Investment Bank,department,2024-09-27
2403-53_tr_57,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Regional Development Bank,department,2024-09-27
2403-53_tr_58,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Tax Appeals Commission,department,2024-09-27
2403-53_tr_59,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of Census and Statistics,department,2024-09-27
2403-53_tr_60,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Institute of Policy Studies,department,2024-09-27
2403-53_tr_61,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Sustainable Development Council,department,2024-09-27
2403-53_tr_62,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Welfare Benefits Board,department,2024-09-27
2403-53_tr_63,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Public Service Mutual Provident Fund,department,2024-09-27
2403-53_tr_64,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,"Strike, Riot, Civil Commotion and Terrorism Fund",department,2024-09-27
2403-53_tr_65,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,National Insurance Trust Fund,department,2024-09-27
2403-53_tr_66,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Employees' Trust Fund,department,2024-09-27
2403-53_tr_67,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Lady Lochore Fund,department,2024-09-27
2403-53_tr_68,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Sri Lanka Media Training Institute,department,2024-09-27
2403-53_tr_69,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Protection of Children National Trust Fund,department,2024-09-27
2403-53_tr_70,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Institutions coming under the Revival (Removal) of Underperforming Enterprises or Underutilized Assets Act vested to the Secretary to the Treasury,department,2024-09-27
2403-53_tr_71,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Sri Lanka Thriposha Co. Ltd.,department,2024-09-27
2403-53_tr_72,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Office of Comptroller General,department,2024-09-27
2403-53_tr_73,Non Cabinet Minister of Development Projects,Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of Project Management and Monitoring,department,2024-09-27
2403-53_tr_74,Non Cabinet Minister of Development Projects,Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of Information Technology Management,department,2024-09-27
2403-53_tr_75,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,State Resources Management Corporation,department,2024-09-27
2403-53_tr_76,Minister of Industries,Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of the Registrar of Companies,department,2024-09-27
2403-53_tr_77,Minister of Investment Promotion,Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Colombo Port City Economic Commission,department,2024-09-27
2403-53_tr_78,Minister of Investment Promotion,Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Techno Park Development Company (Pvt.) Limited,department,2024-09-27
2403-53_tr_79,Minister of Investment Promotion,Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Sri Lanka Export Development Board,department,2024-09-27
2403-53_tr_80,Minister of Investment Promotion,Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Board of Investment of Sri Lanka,department,2024-09-27
2403-53_tr_81,Minister of Tourism and Lands,Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Sri Lanka Tourism Promotion Bureau,department,2024-09-27
2403-53_tr_82,Minister of Tourism and Lands,Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Sri Lanka Tourism Development Authority,department,2024-09-27
2403-53_tr_83,Minister of Tourism and Lands,Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Sri Lanka Institute of Tourism and Hotel Management,department,2024-09-27
2403-53_tr_84,Minister of Tourism and Lands,Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Sri Lanka Convention Bureau,department,2024-09-27
2403-53_tr_85,Minister of Tourism and Lands,Ranil Wickremesinghe,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Anura Kumara,Department of National Botanic Gardens,department,2024-09-27
2403-53_tr_86,Minister of Power and Energy,Ranil Wickremesinghe,Minister of Energy,Anura Kumara,Ceylon Electricity Board and its subsidiary Companies,department,2024-09-27
2403-53_tr_87,Minister of Power and Energy,Ranil Wickremesinghe,Minister of Energy,Anura Kumara,Ceylon Electricity Company,department,2024-09-27
2403-53_tr_88,Minister of Power and Energy,Ranil Wickremesinghe,Minister of Energy,Anura Kumara,Lanka Coal Company (Pvt) Ltd,department,2024-09-27
2403-53_tr_89,Minister of Power and Energy,Ranil Wickremesinghe,Minister of Energy,Anura Kumara,LTL Holdings (Pvt.) Ltd.,department,2024-09-27
2403-53_tr_90,Minister of Power and Energy,Ranil Wickremesinghe,Minister of Energy,Anura Kumara,Ceylon Petroleum Corporation,department,2024-09-27
2403-53_tr_91,Minister of Power and Energy,Ranil Wickremesinghe,Minister of Energy,Anura Kumara,Ceylon Petroleum Storage Terminal Ltd.,department,2024-09-27
2403-53_tr_92,Minister of Power and Energy,Ranil Wickremesinghe,Minister of Energy,Anura Kumara,Petroleum Development Authority of Sri Lanka,department,2024-09-27
2403-53_tr_93,Minister of Power and Energy,Ranil Wickremesinghe,Minister of Energy,Anura Kumara,Polipto Lanka (Pvt) Ltd,department,2024-09-27
2403-53_tr_94,Minister of Power and Energy,Ranil Wickremesinghe,Minister of Energy,Anura Kumara,Sri Lanka Sustainable Energy Authority,department,2024-09-27
2403-53_tr_95,Minister of Power and Energy,Ranil Wickremesinghe,Minister of Energy,Anura Kumara,Sri Lanka Atomic Energy Board,department,2024-09-27
2403-53_tr_96,Minister of Power and Energy,Ranil Wickremesinghe,Minister of Energy,Anura Kumara,Sri Lanka Atomic Energy Regulatory Council,department,2024-09-27
2403-53_tr_97,Minister of Agriculture and Plantation Industries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Department of Agriculture,department,2024-09-27
2403-53_tr_98,Minister of Agriculture and Plantation Industries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Department of Agrarian Development,department,2024-09-27
2403-53_tr_99,Minister of Agriculture and Plantation Industries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Agriculture and Agrarian Insurance Board,department,2024-09-27
2403-53_tr_100,Minister of Agriculture and Plantation Industries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Paddy Marketing Board,department,2024-09-27
2403-53_tr_101,Minister of Agriculture and Plantation Industries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Hector Kobbekaduwa Agrarian Research and Training Institute,department,2024-09-27
2403-53_tr_102,Minister of Agriculture and Plantation Industries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Sri Lanka Council for Agricultural Research Policy,department,2024-09-27
2403-53_tr_103,Minister of Agriculture and Plantation Industries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,National Agricultural Diversification and Settlement Authority,department,2024-09-27
2403-53_tr_104,Minister of Agriculture and Plantation Industries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,National Fertilizer Secretariat,department,2024-09-27
2403-53_tr_105,Minister of Agriculture and Plantation Industries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board),department,2024-09-27
2403-53_tr_106,Minister of Agriculture and Plantation Industries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Department of Animal Production and Health,department,2024-09-27
2403-53_tr_107,Minister of Agriculture and Plantation Industries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,National Livestock Development Board and affiliated companies,department,2024-09-27
2403-53_tr_108,Minister of Agriculture and Plantation Industries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Milco (Pvt.) Ltd,department,2024-09-27
2403-53_tr_109,Minister of Agriculture and Plantation Industries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Mahaweli Livestock Enterprise Limited,department,2024-09-27
2403-53_tr_110,Minister of Tourism and Lands,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Department of Land Commissioner General,department,2024-09-27
2403-53_tr_111,Minister of Tourism and Lands,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Department of Land Use Policy Planning,department,2024-09-27
2403-53_tr_112,Minister of Tourism and Lands,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Land Reform Commission,department,2024-09-27
2403-53_tr_113,Minister of Tourism and Lands,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Institute of Surveying and Mapping,department,2024-09-27
2403-53_tr_114,Minister of Tourism and Lands,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Land Survey Council,department,2024-09-27
2403-53_tr_115,Minister of Tourism and Lands,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Land Acquisition Board of Review,department,2024-09-27
2403-53_tr_116,Minister of Irrigation,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Department of Irrigation,department,2024-09-27
2403-53_tr_117,Minister of Irrigation,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,"Major irrigation development projects including Uma Oya, Moragahakanda, Kalu Ganga, Gin Ganga, Nilwala, Malwathu Oya",department,2024-09-27
2403-53_tr_118,Minister of Irrigation,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Central Engineering Consultancy Bureau and its subsidiaries and affiliated companies,department,2024-09-27
2403-53_tr_119,Minister of Irrigation,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Sri Lanka Mahaweli Authority,department,2024-09-27
2403-53_tr_120,Minister of Irrigation,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Engineering Council of Sri Lanka,department,2024-09-27
2403-53_tr_121,Minister of Fisheries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Department of Fisheries and Aquatic Resources,department,2024-09-27
2403-53_tr_122,Minister of Fisheries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,National Aquatic Resources Research and Development Agency,department,2024-09-27
2403-53_tr_123,Minister of Fisheries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,National Aquaculture Development Authority,department,2024-09-27
2403-53_tr_124,Minister of Fisheries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Ceylon Fisheries Corporation,department,2024-09-27
2403-53_tr_125,Minister of Fisheries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Ceylon Fishery Harbours Corporation,department,2024-09-27
2403-53_tr_126,Minister of Fisheries,Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,Cey-Nor Foundation Ltd,department,2024-09-27
2403-53_tr_127,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Anura Kumara,North Sea Ltd,department,2024-09-27
2403-53_tr_128,"Minister of Justice, Prisons Affairs and Constitutional Reforms",Ranil Wickremesinghe,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Anura Kumara,Attorney General's Department,department,2024-09-27
2403-53_tr_129,"Minister of Justice, Prisons Affairs and Constitutional Reforms",Ranil Wickremesinghe,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Anura Kumara,Legal Draftsman's Department,department,2024-09-27
2403-53_tr_130,"Minister of Justice, Prisons Affairs and Constitutional Reforms",Ranil Wickremesinghe,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Anura Kumara,Department of Debt Conciliation Board,department,2024-09-27
2403-53_tr_131,"Minister of Justice, Prisons Affairs and Constitutional Reforms",Ranil Wickremesinghe,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Anura Kumara,Department of Government Analyst,department,2024-09-27
2403-53_tr_132,"Minister of Justice, Prisons Affairs and Constitutional Reforms",Ranil Wickremesinghe,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Anura Kumara,Office of the Registrar of the Supreme Court,department,2024-09-27
2403-53_tr_133,"Minister of Justice, Prisons Affairs and Constitutional Reforms",Ranil Wickremesinghe,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Anura Kumara,Law Commission of Sri Lanka,department,2024-09-27
2403-53_tr_134,"Minister of Justice, Prisons Affairs and Constitutional Reforms",Ranil Wickremesinghe,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Anura Kumara,Superior Courts Complex Board of Management,department,2024-09-27
2403-53_tr_135,"Minister of Justice, Prisons Affairs and Constitutional Reforms",Ranil Wickremesinghe,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Anura Kumara,Legal Aid Commission of Sri Lanka,department,2024-09-27
2403-53_tr_136,"Minister of Justice, Prisons Affairs and Constitutional Reforms",Ranil Wickremesinghe,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Anura Kumara,Mediation Boards Commission,department,2024-09-27
2403-53_tr_137,"Minister of Justice, Prisons Affairs and Constitutional Reforms",Ranil Wickremesinghe,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Anura Kumara,Council of Legal Education,department,2024-09-27
2403-53_tr_138,"Minister of Justice, Prisons Affairs and Constitutional Reforms",Ranil Wickremesinghe,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Anura Kumara,Commercial Mediation Centre of Sri Lanka,department,2024-09-27
2403-53_tr_139,"Minister of Justice, Prisons Affairs and Constitutional Reforms",Ranil Wickremesinghe,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Anura Kumara,Sri Lanka International Arbitration Centre (Guarantee) Ltd,department,2024-09-27
2403-53_tr_140,"Minister of Justice, Prisons Affairs and Constitutional Reforms",Ranil Wickremesinghe,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Anura Kumara,National Authority for the Protection of Victims of Crime and Witnesses,department,2024-09-27
