transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2281-41_tr_14,State Minister of Disaster Management,Minister of Defence,Disaster Management Centre,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_15,State Minister of Disaster Management,Minister of Defence,National Disaster Relief Services Centre,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_16,State Minister of Disaster Management,Minister of Defence,National Building Research Organization,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_18,Minister of Technology,Minister of Defence,Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_19,Minister of Technology,Minister of Defence,Information and Communication Technology Agency and Allied Institutions,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_20,Minister of Technology,Minister of Defence,Sri Lanka Computer Emergency Readiness Team,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_21,Minister of Technology,Minister of Defence,Sri Lanka Telecom and its Subsidiaries and Allied Institutions,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_22,Minister of Technology,Minister of Defence,Department of Registration of Persons,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_23,Minister of Technology,Minister of Defence,Colombo Lotus Tower Management Company (Pvt.) Limited,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_24,Minister of Technology,Minister of Defence,Techno Park Development Company (Pvt.) Limited,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_25,State Minister of Technology,Minister of Defence,Industrial Technology Institute,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_26,State Minister of Technology,Minister of Defence,Information Technology Parks (Jaffna & Mannar),department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_27,State Minister of Technology,Minister of Defence,Sri Lanka Standard Institute,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_28,State Minister of Technology,Minister of Defence,Sri Lanka Institute of Biotechnology (Pvt.) Ltd.,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_29,State Minister of Technology,Minister of Defence,Sri Lanka Institute of Nano Technology (Pvt.) Ltd.,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_30,Presidential Secretariat - National Priority Programme,Minister of Defence,Board of Investment of Sri Lanka,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_31,Presidential Secretariat - National Priority Programme,Minister of Defence,Colombo Port City Economic Commission,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_33,Minister of Samurdhi Development,"Minister of Finance, Economic Stabilization and National Policies",State Resources Management Corporation,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_34,State Minister of Trade,"Minister of Finance, Economic Stabilization and National Policies",Sri Lanka Export Development Board,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_45,State Minister of Tourism,"Minister of Ports, Shipping and Aviation",Civil Aviation Authority of Sri Lanka,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_46,State Minister of Tourism,"Minister of Ports, Shipping and Aviation",Airport and Aviation Services (Sri Lanka) Ltd.,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_47,State Minister of Tourism,"Minister of Ports, Shipping and Aviation",Sri Lankan Air Lines Limited and its subsidiaries,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_48,State Minister of Foreign Affairs,Minister of Foreign Affairs,Lakshman Kadirgamar Institute for International Relations and Strategic Studies,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_49,"Minister of Finance, Economic Stabilization and National Policies","Minister of Public Administration, Home Affairs, Provincial Councils & Local Government",Public Service Pensioners' Trust Fund,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_53,State Minister of Home Affairs,"Minister of Public Administration, Home Affairs, Provincial Councils & Local Government",All District Secretariats and Divisional Secretariats,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_54,State Minister of Defence,"Minister of Public Administration, Home Affairs, Provincial Councils & Local Government",Department of Registrar General,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_55,State Minister of Provincial Councils and Local Government,"Minister of Public Administration, Home Affairs, Provincial Councils & Local Government",Sri Lanka Institute of Local Governance,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_56,"Minister of Finance, Economic Stabilization and National Policies","Minister of Public Administration, Home Affairs, Provincial Councils & Local Government",Local Loans and Development Fund,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_58,State Minister of Fisheries,Minister of Fisheries,National Aquaculture Development Authority,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_59,State Minister of Fisheries,Minister of Fisheries,Ceylon Fisheries Harbour Corporation,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_60,State Minister of Fisheries,Minister of Fisheries,Cey-Nor Foundation Ltd,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_61,State Minister of Fisheries,Minister of Fisheries,Ceylon Fisheries Corporation,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_62,State Minister of Higher Education,Minister of Education,University Grants Commission,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_63,State Minister of Higher Education,Minister of Education,"All State Universities, Postgraduate Institutions and other Institutions under the purview of University Grants Commission",department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_64,State Minister of Higher Education,Minister of Education,Buddhasravaka Bhikku University,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_65,State Minister of Higher Education,Minister of Education,Buddhist and Pali University of Sri Lanka,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_66,State Minister of Education Reforms,Minister of Education,National Institute of Education,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_67,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services",Minister of Education,Pirivena Education Board,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_68,State Minister of Education,Minister of Education,National Institute of Business Management and affiliated institutions,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_69,State Minister of Education,Minister of Education,University of Vocational Technology,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_70,State Minister of Education,Minister of Education,National Institute of Fisheries and Nautical Engineering (Ocean University),department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_71,State Minister of Education,Minister of Education,Vocational Training Authority of Sri Lanka,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_72,State Minister of Education,Minister of Education,National Apprenticeship and Industrial Training Authority,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_73,State Minister of Education,Minister of Education,Ceylon German Technical Training Institute,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_74,State Minister of Education,Minister of Education,Department of Technical Education and Training,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_75,State Minister of Education,Minister of Education,National Institute of Fundamental Studies,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_76,State Minister of Education,Minister of Education,Sri Lanka Inventors' Commission,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_77,State Minister of Education,Minister of Education,National Engineering Research And Development Centre,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_78,State Minister of Education,Minister of Education,National Research Council,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_79,State Minister of Education,Minister of Education,Tertiary and Vocational Education Commission,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_80,State Minister of Education,Minister of Education,National Science Foundation,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_81,State Minister of Education,Minister of Education,Planetarium of Sri Lanka,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_82,State Minister of Education,Minister of Education,Arthur C. Clarke Centre for Modern Technology,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_83,State Minister of Education,Minister of Education,National Innovation Agency,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_84,State Minister of Education,Minister of Education,Skills Development Fund Ltd.,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_85,State Minister of Education,Minister of Education,Sri Lanka Inventors Fund,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_86,State Minister of Education,Minister of Education,National Science and Technology Commission,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_90,State Minister of Transport,Minister of Transport and Highways,Lakdiva Engineering Ltd.,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_91,State Minister of Transport,Minister of Transport and Highways,Sri Lanka Transport Board,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_92,State Minister of Transport,Minister of Transport and Highways,National Transport Medical Institute,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_93,State Minister of Transport,Minister of Transport and Highways,Department of Motor Traffic,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_94,Minister of Highways,Minister of Transport and Highways,Road Development Authority and its Subsidiaries and Associates,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_95,Minister of Highways,Minister of Transport and Highways,Sahasya Investments Limited,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_96,State Minister of Rural Roads and Development,Minister of Transport and Highways,Maga Naguma,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_97,State Minister of Rural Roads and Development,Minister of Transport and Highways,State Development and Construction Corporation,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_99,State Minister of Health,Minister of Health,Sri Lanka Thriposha Co. Ltd.,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_100,State Minister of Health,Minister of Health,Sri Jayewardenepura General Hospital,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_101,State Minister of Health,Minister of Health,Vijaya Kumaranatunga Memorial Hospital,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_102,State Minister of Health,Minister of Health,Ashraff Memorial Hospital,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_103,State Minister of Health,Minister of Health,National Authority on Tobacco and Alcohol,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_104,State Minister of Health,Minister of Health,1990 Suwaseriya Foundation,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_105,State Minister of Health,Minister of Health,National Medicines Regulatory Authority,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_106,State Minister of Indigenous Medicine,Minister of Health,Department of Ayurveda,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_107,State Minister of Indigenous Medicine,Minister of Health,Sri Lanka Ayurvedic Drugs Corporation,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_108,State Minister of Indigenous Medicine,Minister of Health,Ayurvedic Medical Council,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_109,State Minister of Indigenous Medicine,Minister of Health,Ayurvedic College and Hospital Board,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_110,State Minister of Indigenous Medicine,Minister of Health,Ayurveda Teaching and Research Hospitals,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_111,State Minister of Indigenous Medicine,Minister of Health,"Homeopathy Hospital, Welisara",department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_112,State Minister of Indigenous Medicine,Minister of Health,Homeopathy Medical Council,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_113,"Minister of Finance, Economic Stabilization and National Policies",Minister of Health,National Health Development Fund,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_114,State Minister of Rural and Divisional Drinking Water Supply Projects Development,Minister of Water Supply,Department of National Community Water Supply,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_115,State Minister of Promoting the Production of Organic fertilizer and Advanced Technology Agriculture,Minister of Agriculture,Department of Agrarian Development,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_116,State Minister of Rural Economic Crop Cultivation & Promotion,Minister of Agriculture,National Agricultural Diversification and Settlement Authority,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_117,State Minister of Promoting the Production of Organic fertilizer and Advanced Technology Agriculture,Minister of Agriculture,National Fertilizer Secretariat,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_118,State Minister of Promoting the Production of Organic fertilizer and Advanced Technology Agriculture,Minister of Agriculture,Ceylon Fertilizer Company Ltd.,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_119,State Minister of Promoting the Production of Organic fertilizer and Advanced Technology Agriculture,Minister of Agriculture,Colombo Commercial Fertilizer Company,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_120,State Minister of Promoting the Production of Organic fertilizer and Advanced Technology Agriculture,Minister of Agriculture,National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board),department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_121,State Minister of Promoting the Production of Organic fertilizer and Advanced Technology Agriculture,Minister of Agriculture,Institute of Post-Harvest Technology,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_122,State Minister of Livestock,Minister of Agriculture,Department of Animal Production and Health,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_123,State Minister of Livestock,Minister of Agriculture,National Livestock Development Board and affiliated companies,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_124,State Minister of Livestock,Minister of Agriculture,Milco (Pvt.) Ltd,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_125,State Minister of Livestock,Minister of Agriculture,Mahaweli Livestock Enterprise Limited,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_127,State Minister of Prison Management and Prisoners' Rehabilitation,"Minister of Justice, Prisions Affairs and Constitutional Reforms",Department of Prisons,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_128,State Minister of Prison Management and Prisoners' Rehabilitation,"Minister of Justice, Prisions Affairs and Constitutional Reforms",Community Based Correction Department,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_129,State Minister of Prison Management and Prisoners' Rehabilitation,"Minister of Justice, Prisions Affairs and Constitutional Reforms",Training Schools for Youthful Offenders,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_130,State Minister of Prison Management and Prisoners' Rehabilitation,"Minister of Justice, Prisions Affairs and Constitutional Reforms",Rehabilitation Commissioner General’s Office,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_132,Minister of Lands,Minister of Tourism and Lands,Department of Land Commissioner General,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_133,Minister of Lands,Minister of Tourism and Lands,Land Reform Commission,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_134,Minister of Lands,Minister of Tourism and Lands,Sri Lanka Survey Department,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_135,Minister of Lands,Minister of Tourism and Lands,Institute of Surveying and Mapping,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_136,Minister of Lands,Minister of Tourism and Lands,Land Survey Council,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_137,Minister of Lands,Minister of Tourism and Lands,Department of Land Use Policy Planning,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_138,Minister of Lands,Minister of Tourism and Lands,Department of Land Settlement,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_140,Minister of Agriculture,Minister of Plantation Industries,Janatha Estate Development Board,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_141,"Minister of Finance, Economic Stabilization and National Policies",Minister of Plantation Industries,Tea Shakthi Fund,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_142,"Minister of Finance, Economic Stabilization and National Policies",Minister of Plantation Industries,Thurusaviya Fund,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_143,State Minister of Development of Minor Export Crops Plantation,Minister of Plantation Industries,Department of Export Agriculture,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_144,State Minister of Development of Minor Export Crops Plantation,Minister of Plantation Industries,Sri Lanka Cashew Corporation,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_145,State Minister of Development of Minor Export Crops Plantation,Minister of Plantation Industries,Hingurana Sugar Factory (Pvt) Limited,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_146,State Minister of Development of Minor Export Crops Plantation,Minister of Plantation Industries,Ceylon Sugar (Pvt.) Ltd.,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_147,State Minister of Development of Minor Export Crops Plantation,Minister of Plantation Industries,Kantale Sugar Company Ltd.,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_148,State Minister of Development of Minor Export Crops Plantation,Minister of Plantation Industries,Sugarcane Research Institute,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_149,State Minister of Development of Minor Export Crops Plantation,Minister of Plantation Industries,Gal Oya Plantation (Pvt.) Company,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_150,State Minister of Development of Minor Export Crops Plantation,Minister of Plantation Industries,Spices and Allied Products Marketing Board,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_151,State Minister of Plantation,Minister of Plantation Industries,Kurunegala Plantation Company Ltd.,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_152,State Minister of Plantation,Minister of Plantation Industries,Chilaw Plantation Company Ltd,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_153,State Minister of Plantation,Minister of Plantation Industries,Palmyra Development Board,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_154,State Minister of Plantation,Minister of Plantation Industries,Coconut Cultivation Board,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_155,State Minister of Plantation,Minister of Plantation Industries,Coconut Development Authority,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_156,State Minister of Plantation,Minister of Plantation Industries,Coconut Research Institute,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_158,"Minister of Finance, Economic Stabilization and National Policies",Minister of Plantation Industries,Kapruka Fund,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_159,Minister of Samurdhi Development,Minister of Industries,Small and Medium Enterprise Venture Capital Company,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_160,Minister of Samurdhi Development,Minister of Industries,Small and Medium Enterprise Authority,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_161,State Minister of Industries,Minister of Industries,Timber-related design Centre,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_162,State Minister of Industries,Minister of Industries,Vidatha Centres,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_163,State Minister of Industries,Minister of Industries,National Crafts Council,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_164,State Minister of Textile Industry & Local Apparel Products Promotion,Minister of Industries,Department of Textile Industries,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_165,State Minister of Textile Industry & Local Apparel Products Promotion,Minister of Industries,Sri Lanka Institute of Textile and Apparels,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_166,State Minister of Textile Industry & Local Apparel Products Promotion,Minister of Industries,Lanka Textile Mills Emporium Ltd.,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_167,State Minister of Textile Industry & Local Apparel Products Promotion,Minister of Industries,Lanka Salusala Ltd.,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_168,State Minister of Textile Industry & Local Apparel Products Promotion,Minister of Industries,Sri Lanka Handicraft Board (Laksala),department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_169,State Minister of Textile Industry & Local Apparel Products Promotion,Minister of Industries,National Design Centre,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_171,State Minister of Gem and Jewellery related Industries,Minister of Industries,National Gem and Jewellery Authority,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_172,State Minister of Gem and Jewellery related Industries,Minister of Industries,Gem and Jewellery Research and Training Institute,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_173,State Minister of Urban Development,Minister of Urban Development and Housing,Urban Development Authority,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_174,State Minister of Urban Development,Minister of Urban Development and Housing,Urban Settlement Development Authority,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_175,State Minister of Urban Development,Minister of Urban Development and Housing,Condominium Management Authority,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_176,State Minister of Urban Development,Minister of Urban Development and Housing,Selendiva Investments Limited,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_177,State Minister of Housing,Minister of Urban Development and Housing,Sri Lanka Land Development Corporation and its subsidiaries and related institutions,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_178,State Minister of Housing,Minister of Urban Development and Housing,National Housing Development Authority,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_179,State Minister of Housing,Minister of Urban Development and Housing,Building Material Corporation Limited,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_180,State Minister of Housing,Minister of Urban Development and Housing,Department of Buildings,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_181,State Minister of Housing,Minister of Urban Development and Housing,Department of Government Factories,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_182,State Minister of Housing,Minister of Urban Development and Housing,Construction Industry Development Authority,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_183,State Minister of Housing,Minister of Urban Development and Housing,State Engineering Corporation,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_184,State Minister of Housing,Minister of Urban Development and Housing,National Equipment and Machinery Organization,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_185,State Minister of Housing,Minister of Urban Development and Housing,Ocean View Development (Pvt) Ltd,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2281-41_tr_186,State Minister of Coast Conservation,Minister of Urban Development and Housing,Marine Environment Protection Authority,department,2022-05-27,Gotabaya Rajapaksa,Gotabaya Rajapaksa
