department
Department of National Archives
Central Cultural Fund
National Film Corporation
Galle Heritage Foundation
Sri Lanka Foundation
S. W. R. D. Bandaranaike National Memorial Foundation
National Performing Arts Theatre (Nelum Pokuna)
J.R. Jayawardene Centre
Urban Development Authority
Sri Lanka Land Reclamation and Development Corporation
National Physical Planning Department
National Water Supply and Drainage Board
Department of National Community Water Supply
Urban Settlement Development Authority
National Housing Development Authority
Condominium Management Authority (Common Amenities Board)
Housing Planning and Building Centre and its subsidiaries and affiliated companies
Building Material Corporation Limited
Department of Buildings
Department of Government Factories
Construction Industry Development Authority
State Engineering Corporation
State Development and Construction Corporation
National Equipment and Machinery Organization
Ocean View Development (Pvt) Ltd.
Attorney General's Department
Legal Draftsman's Department
Department of Debt Conciliation Board
Department of Government Analyst
Office of the Registrar of the Supreme Court
Law Commission of Sri Lanka
Superior Courts Complex Board of Management
Legal Aid Commission of Lanka
Mediation Boards Commission
Council of Legal Education
Department of Public Trustee
Commercial Mediation Centre of Sri Lanka
International Arbitration Centre of Sri Lanka
Department of Prisons
Community Based Correction Department
Training Schools for Youthful Offenders
Rehabilitation Commissioner General's Office
Office for National Unity and Reconciliation
Office of Missing Persons
Office for Reparations
New Villages Development Authority for Plantation Region
Estate Sector Self-Employment Revolving Fund
Plantation Human Development Trust
Saumyamoorthi Thondaman Memorial Foundation
Resettlement Authority
Gramashakthi Bureau
Diplomatic Missions in abroad
Lakshman Kadirgamar Institute for International Relations and Strategic Studies
National Oceanic Affairs Committee Secretariat
Tertiary and Vocational Education Commission
Vocational Training Authority of Sri Lanka
National Apprenticeship and Industrial Training Authority
Skills Development Fund Ltd.
Ceylon German Technical Training Institute
Sri Lanka Institute of Printing
National Institute of Technical Education
Department of Technical Education and Training
Department of Labour
National Institute of Labour Studies
Employees' Provident Fund
National Institute for Occupational Safety and Health
Office of the Commissioner of Workmen's Compensation
Shrama Vasana Fund
Department of Manpower and Employment
Sri Lanka Job Net Ltd.
Sri Lanka Foreign Employment Bureau
Sri Lanka Foreign Employment Agency
National Productivity Secretariat
Department of Fisheries and Aquatic Resources
National Aquaculture Development Authority
Ceylon Fisheries Harbour Corporation
Cey-Nor Foundation Ltd.
Sri Lanka Fisheries Corporation
National Aquatic Resources Research and Development Agency
North Sea Ltd.
Sri Lanka Women's Bureau
National Committee on Women
Department of Probation and Childcare Services
National Child Protection Authority
Children's Secretariat
National Social Development Institute
Department of Samurdhi Development
Rural Development Training and Research Institute
Department of Social Services
National Council for Elders and National Secretariat for Elders
National Secretariat for Persons with Disabilities
National Council for Persons with Disabilities
Protection of Children-National Trust Fund
Social Security Board
Department of Health Services
Sri Jayewardenepura General Hospital
Vijaya Kumaranatunga Memorial Hospital
State Pharmaceutical Corporation
State Pharmaceutical Manufacturing Corporation
National Drugs Regulatory Authority
"All National, Teaching and Specified Government Hospitals"
National Health Council
Medical Research Institute
National Institute of Health Science
Ashraff Memorial Hospital
School of Medical Laboratory Technology
Sri Lanka Medical Council
Sri Lanka Medical College Council
National Health Development Fund
Private Medical Institute Council
"National Institute of Nephrology, Dialysis and Transplantation"
Sri Lanka Thriposha Ltd.
National Authority on Tobacco and Alcohol
Department of Ayurveda
Sri Lanka Ayurvedic Drugs Corporation
Ayurvedic Medical Council
Ayurvedic College and Hospital Board
Ayurveda Teaching and Research Hospitals
"Homeopathy Hospital, Welisara"
Homeopathy Medical Council
1990 Suwaseriya Foundation
Kidney Fund
Sri Lanka Telecom and its subsidiaries and affiliated companies
Department of Telecommunications
All Information Technology Parks
Department of Information
Sri Lanka Press Council
Sri Lanka Broadcasting Corporation
Independent Television Network
Sri Lanka Rupavahini Corporation
Associated Newspapers of Ceylon Ltd.
Lanka Puwath Ltd.
Selacine Rupavahini Institute
Mahinda Rajapaksa National Tele Cinema Park
Right to Information Commission
Postal Department
Department of Government Printing
Sri Lanka Media Training Institute
University Grants Commission
"All State Universities, Postgraduate Institutions and other Institutions under the purview of University Grants Commission"
Buddhasravaka Bhiksu University
Buddhist and Pali University
Sri Lanka Institute of Advanced Technological Education
Mahapola Higher Education Scholarship Trust Fund
National Institute of Business Management and affiliated institutions
University of Vocational Technology
National Institute of Fisheries and Nautical Engineering (Ocean University)
Industrial Technology Institute
Sri Lanka Institute of Nano Technology (Pvt.) Ltd.
National Institute of Fundamental Studies
National Science Foundation
National Science and Technology Commission
Planetarium
Arthur C. Clarke Centre for Modern Technology
Sri Lanka Accreditation Board for Conformity Assessment
Sri Lanka Standards Institute
National Intellectual Property Office of Sri Lanka
Sri Lanka Inventors' Commission
Inventors' Fund
National Engineering Research and Development Centre
National Research Council
Co-ordinating Secretariat of Science Technology & Innovation
Blue Green Growth Secretariat
Timber-related design centre
Centre of excellence for Robotic Applications
Vidatha Centres
All District Secretariats and Divisional Secretariats
Sri Lanka Institute of Development Administration
Distance Learning Centre Ltd.
Department of Pensions
Public Service Pensioners' Trust Fund
Department of Registrar General
Department of Official Languages
Official Languages Commission
National Institute of Language Education and Training
National Council of Sri Lanka for the Development of Human Resources
Sri Lanka Institute of Local Government
Local Loans and Development Fund
Miloda Institute (Academy of Financial Studies)
Department of Irrigation
Water Resources Board
"Mahaweli Authority of Sri Lanka (major development projects including Moragahakanda and Kalu Ganga, Uma Oya)"
Central Engineering Consultancy Bureau and its subsidiaries and affiliated companies
Engineering Council of Sri Lanka
Department of Agriculture
Department of Agrarian Development
National Fertilizer Secretariat
Agriculture and Agrarian Insurance Board
Pulses and Grain Research and Production Authority
Hector Kobbekaduwa Agrarian Research and Training Institute
Sri Lanka Council for Agricultural Research Policy
Institute of Post-Harvest Technology
Paddy Marketing Board
Ceylon Fertilizer Company Ltd.
Colombo Commercial Fertilizer Company
Janatha Fertilizer Enterprises Ltd.
National Agricultural Diversification and Settlement Authority
National Food Promotion Board
Rural Revival Fund
Rural Economic Revival Fund
Janadiriya Fund (Gramodaya Council Fund)
Department of Animal Production and Health
National Livestock Development Board and affiliated companies
Milco (Pvt.) Ltd.
Mahaweli Livestock Enterprise Limited
Internal Trade Department
Consumer Affairs Authority
Lanka Sathosa Ltd.
Lanka General Trading Company Ltd.
Co-operative Wholesale Establishment
"Department of Measurement Units, Standards and Services"
Department of Co-operative Development (Registrar of Co-operative Societies)
Co-operative Employees Commission
National Institute of Co-operative Development
Food Commissioner's Department
Divisional Economic Centres
Department of Educational Publications
National Institute of Education
Sri Lanka Publication Development Bureau
National Library and Documentation Services Board
Directorates of Education
National Authority on Teachers Education
Colleges of Education
Teachers' Colleges
Piriven Education Board
Department of Examination
State Printing Corporation
UNESCO National Commission of Sri Lanka
National Education Commission
Department of Sports Development
Sugathadasa National Sports Complex Authority
Provincial Sports Complexes
National Institute of Sports Science
National Sports Council
Institute of Sports Medicine
Sri Lanka Anti-doping Agency
National Youth Services Council
National Youth Corps
National Youth Awards Authority
National Youths Services Co-operative Limited
National Centre for Leadership Development
Institute of Smart Sri Lanka
Road Development Authority and its Subsidiaries and Associates
Road Maintenance Trust Fund
Sri Lanka Ports Authority and its Subsidiaries and Associates
Ceylon Shipping Corporation Ltd. and its Subsidiaries and Associates
Merchant Shipping Secretariat
National Enterprise Development Authority
National Crafts Council
Sri Lanka Handicraft Board (Laksala)
National Design Centre
Small and Medium Enterprise Venture Capital Company
Small and Medium Enterprise Authority
Ceylon Industrial Development Board
Sri Lanka Institute of Textile and Apparels
Department of Textile Industries
Kahatagaha Graphite
Lanka Leyland Ltd.
Lanka Ashok Leyland Ltd.
Lanka Cement Ltd.
Sri Lanka Cement Corporation
Lanka Textile Mills Emporium Ltd.
Lanka Salusala Ltd.
National Paper Corporation Ltd.
Lanka Mineral Sands Company
Paranthan Chemicals Ltd.
Bogala Graphite Lanka Limited
Lanka Phosphate Company Ltd.
Ceylon Ceramics Corporation (Brick and Tiles Division)
Kahagolle Engineering Services Company Ltd. (KESCO)
BCC (Pvt.) Limited
Palmyrah Development Board
Manthai Salt Ltd.
Elephant Pass Saltern
National Gem and Jewellery Authority
Gem and Jewellery Research Institute
Department of Sri Lanka Railways
Sri Lanka Central Transport Board
National Transport Medical Institute
Department of Motor Traffic
National Transport Commission
Lakdiva Engineering Ltd.
Werahara Engineering Services Ltd. (WESCO)
National Council on Road Safety
Ceylon Electricity Board and its subsidiary Companies
Lanka Electricity Company
Lanka Coal Company (Pvt.) Ltd.
LTL Holdings (Pvt.) Ltd.
Sri Lanka Sustainable Energy Authority
Sri Lanka Atomic Energy Board
Sri Lanka Atomic Energy Regulatory Council
Ceylon Petroleum Corporation
Ceylon Petroleum Storage Terminal Ltd.
Petroleum Resources Development Secretariat
Polipto Lanka (Pvt.) Ltd.
Department of Forest Conservation
Central Environmental Authority
Geological Survey and Mines Bureau
GSMB Technical Services (Pvt.) Ltd
State Timber Corporation
Lanka Timber Plant and Industries
Marine Environment Protection Authority
Department of Coast Conservation and Coastal Resource Management
Department of National Zoological Gardens
Department of National Botanical Gardens
Department of Wildlife Conservation
Wildlife Trust
Department of Land Commissioner General
Land Reform Commission
Department of Land Settlement
Department of Surveyor General
Institute of Surveying and Mapping
Land Survey Council
Department of Land Use Policy Planning
National Institute of Plantation Management
Sri Lanka Tea Board
Tea Small Holdings Development Authority
Tea Shakthi Fund
Tea Research Institute
Tea and Rubber Estates (Control and Fragmentation) Board
Kalubovitiyana Tea Factory Ltd.
Janatha Estate Development Board
Sri Lanka State Plantation Corporation
Elkaduwa Plantation Company Ltd.
Kurunegala Plantation Company Ltd.
Chilaw Plantation Company Ltd.
Galoya Plantation (Pvt.) Company
Department of Rubber Development
Thurusaviya Fund
Rubber Research Institute
Sri Lanka Rubber Manufacturing and Export Corporation
Coconut Cultivation Board
Coconut Development Authority
Coconut Research Institute
Kapruka Fund
Sri Lanka Cashew Corporation
Hingurana Sugar Industry Ltd.
Ceylon Sugar (Pvt.) Ltd.
Kantale Sugar Company Ltd.
Sugar Cane Research Institute
Department of Export Agriculture
Spices and Allied Products Marketing Board
"Assets vested to the Secretary to the Treasury, under the Act, No. 43 of 2011"
Sri Lanka Export Development Board
Sri Lanka Tourism Promotion Bureau
Sri Lanka Tourism Development Authority
Sri Lanka Institute of Tourism and Hotel Management
Sri Lanka Exhibition and Convention Bureau
Civil Aviation Authority
Airport and Aviation Services (Sri Lanka) Ltd.
Sri Lankan Air Lines Limited and its subsidiaries
Api Wenuwen Api Fund
National Authority for the implementation of Chemical Weapons Convention
Department of Multi-purpose Development Task Force
National Police Academy
Housing Development Finance Corporation
State Mortgage and Investment Bank
Institutions coming under the Revival (Removal) of Underperforming Enterprises or Underutilized Assets Act vested to the Secretary to the Treasury
"All State Banks, Financial, Insurance and their subsidiaries and related institutions"
Regional Development Bank
Sri Lanka Land Reclamation Development Corporation and their subsidiaries and related institutions
Condominium Management Authority
Sri Lanka International Arbitration Centre (Guarantee Ltd.)
National Authority for the Protection of Victims and Witnesses of Crime
Sri Lanka Thriposha Co. Ltd.
Secretariat of Science Technology & Innovation
Planetarium of Sri Lanka
Private Medical Regulatory Council
National Hunger Eradication Campaign Board of Sri Lanka
"Major development projects including Uma Oya, Moragahakanda, Kalu Ganga, Gin, Nilwala, Malwathu Oya"
Mahaweli Authority of Sri Lanka
Affiliated Institutions of the Department of Agrarian Services and the Department of Irrigation
Department of Surveyor General of Sri Lanka
Ceylon Shipping Corporation Ltd
Maga Naguma
Sri Lanka Transport Board
Sri Lanka Convention Bureau
Civil Aviation Authority of Sri Lanka
Department of Government Information
Sri Lanka Foundation Institute
Information and Communication Technology Agency and Allied Institutions
Board of Investment of Sri Lanka
Colombo Port City Project
Ceylon Coal Pvt. Ltd.
Presidential Task Force to study and provide instructions on measures to be taken by all Armed Forces to prevent Corona virus infection among Members of the Tri-Forces
"Presidential Task Force to build a Secure Country, Disciplined, Virtuous and Lawful Society"
Covid-19 Ministerial Task Force
Presidential Task Force for Archaeological Heritage Management in the Eastern Province
Presidential Task Force on Sri Lanka's Education Affairs
Presidential Task Force for Economic Revival and Poverty Alleviation
Public Service Mutual Provident Association
Selendiva Investments Limited
Buddhasravaka Bhikku University
Buddhist and Pali University of Sri Lanka
Sri Lanka Climate Fund (Pvt.) Ltd
Sri Lanka Rubber Manufacturing and Export Corporation Ltd.
Lanka Sugar Company (Pvt.) Ltd.
"Tea, Rubber and Coconut Estates (Control and Fragmentation) Board"
Department of Pensions Benefits Association
Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions
Sri Lanka Telecom and its Subsidiaries and Allied Institutions
Ape Gama - Excluding Office Premises
Civil Security Department
Sri Lanka Institute of Biotechnology (Pvt.) Ltd.
Hingurana Sugar Factory (Pvt) Limited
Hardy Institute of Technology
National Innovation Agency
Presidential Task Force for “Gama Samaga Pilisandara” (Dialogue with the Village) rural development
Presidential Task Force for the creation of a Green Sri Lanka with sustainable Solutions for climate Changes
Presidential Task Force for to make study of the exploitation of Geological Resources for Development priorities and self-employment and to meet smallish economic livelihood needs of those engaged in traditional vocations and the sources and methodologies of extraction of such resources
Presidential Task Force for National Deployment and Vaccination plan for COVID-19 Vaccine
Public Service Mutual Provident Fund
National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board)
Department of State Accounts
Insurance Regulatory Commission of Sri Lanka
Presidential Task Force for Green Agriculture
"Presidential Task Force for One Country, One Law"
Institute of National Security Studies
Colombo Port City Economic Commission
Sri Lanka Institute of Local Governance
National Colleges of Education
National Defence College
Colombo Lotus Tower Management Company (Pvt.) Limited
Techno Park Development Company (Pvt.) Limited
Information Technology Parks (Jaffna & Mannar)
Sri Lanka Land Development Corporation and its subsidiaries and related institutions
Department of Project Management and Monitoring
"Coordinating Secretariat for Science, Technology & Innovation"
Sri Lanka Inventors Fund
National Medicines Regulatory Authority
Sri Lanka Survey Department
Sahasya Investments Limited
Sri Lanka State Trading (General) Corporation
Regional Economic Centres
Ape Gama - Office Premises
Department of Internal Trade
"Pulse Crops, Grain Research and Production Authority"
Protection of Children National Trust Fund Institutions coming under the Revival (Removal) of Underperforming Enterprises or Underutilized Assets Act vested to the Secretary to the Treasury
Local Government Service Pension Fund
Local Government Widows' and Orphans' Pension Fund
Local Government Widowers' and Orphans' Pension Fund
Ceylon Fisheries Corporation
Private Health Services Regulatory Council
Kithul Development Board
Gem and Jewellery Research and Training Institute
Foreign Employment Agency of Sri Lanka (Pvt.) Ltd.
Lanka General Trading Company Ltd
National Secretariat for Early Childhood Development
Saubhagya Development Bureau
National Institute of Social Development
Project related to Colombo Port City
